DCPLX,CCPLX,ICPLX,DATA,REUSE,DOCU,OI,OCAP,DECAP,OEXP,DEEXP,PCON,LEXP,TEXP,TOOL,SITE,SCED,A,Size,Actual Effort
1,1.28,1.09,1,0.88,1,1.22,1,1,0.97,0.97,0.98,0.97,0.97,1,1.14,1,4.174719623,1.040041462,5
1.5,1,1,1,1,1.28,1.22,0.625,0.625,0.603,0.603,1,0.97,0.97,1,0.36,1,4.174719623,0.948025982,2.6
1.2,1.1,1,1.19,1,1.28,1.22,0.25,0.25,0.21,0.21,0.65,0.97,0.97,1,0.36,1,4.174719623,1.01436455,3.3
1,1.103337246,1,1.39,1,1.148700682,0.910070488,1.11367768,1.11367768,1,1,0.9878745,1.132516935,1.132516935,1,1.149924083,1,4.174719623,0.785968402,2
1.267815018,1.103337246,1,1.39,1.105883396,1.283439039,1.07887971,1.373785877,1.373785877,1.119451299,1.119451299,0.9878745,1.046267153,1.046267153,1,1.054312502,1,4.174719623,0.678675999,2.5
1,1.103337246,1,1.39,1.105883396,1.283439039,1.07887971,1.373785877,1.373785877,1.119451299,1.119451299,0.9878745,1.046267153,1.046267153,1,1.054312502,1,4.174719623,0.890296322,2.5
1,0.8826015,0.890523518,1.39,1.105883396,1.148700682,1,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1.046267153,1.046267153,1,1.054312502,1,4.174719623,0.835133,2.5
1.267815018,1,1.090270766,1.39,0.884676997,0.831109525,0.642950976,1.11367768,1.11367768,1,1,0.9878745,1,1,1,1,1,4.174719623,0.887372986,0.5
1.267815018,1.103337246,0.890523518,1.39,1.105883396,1,0.642950976,1.11367768,1.11367768,0.976362593,0.976362593,0.9878745,0.968706235,0.968706235,1,0.934252996,1,4.174719623,0.76366543,0.25
1.267815018,1.103337246,1.090270766,1.39,1,1.148700682,0.910070488,1,1,0.976362593,0.976362593,0.9878745,0.945224608,0.945224608,1,1.149924083,1,4.174719623,1.109293779,7
1,1,0.890523518,1.39,1,1.283439039,1.22444782,1.373785877,1.373785877,1.119451299,1.119451299,1.003118996,1.132516935,1.132516935,1,1,1,4.174719623,0.752851063,5
1,1,0.890523518,1.39,1,1.148700682,1,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1.046267153,1.046267153,1,1,1,4.174719623,1.01436455,5
1,1,1,1.39,1,1,0.910070488,1.11367768,1.11367768,1,1,0.9878745,1.046267153,1.046267153,1,1.054312502,1,4.174719623,0.79059485,2
1,1.103337246,1,1.39,0.884676997,0.831109525,1.07887971,0.929646448,0.929646448,1,1,0.9878745,1,1,1,0.934252996,1,4.174719623,1.01436455,1.25
1,1,1.090270766,1.39,1,1.148700682,1.07887971,1.11367768,1.11367768,1.036836755,1.036836755,1,1.046267153,1.046267153,1,1,1,4.174719623,0.835133,1.25
0.735230822,1,0.890523518,1.39,1,0.831109525,0.642950976,1,1,1.036836755,1.036836755,1,1.046267153,1.046267153,1,1,1,4.174719623,1.216260361,1
1,0.8826015,0.890523518,1.39,1,1,0.910070488,1.373785877,1.373785877,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1.149924083,1,4.174719623,0.96715981,6
0.474532485,1.103337246,0.74622904,1.39,0.564513468,1.283439039,1.07887971,1.373785877,1.373785877,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,0.934252996,1,4.174719623,0.57579164,1
1,1,1,1.39,1.105883396,1.283439039,1.07887971,1.11367768,1.11367768,1,1,1.003118996,0.945224608,0.945224608,1,1.054312502,1,4.174719623,1.062552894,3
1,1.287073001,1.090270766,1.39,1.105883396,1.148700682,1.22444782,1.11367768,1.11367768,1.036836755,1.036836755,1,1,1,1,1.149924083,1,4.174719623,0.752851063,6
1,1,0.890523518,1.39,0.884676997,0.831109525,0.642950976,1.11367768,1.11367768,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1.054312502,1,4.174719623,0.785968402,1
1,0.8826015,0.890523518,1.39,0.884676997,0.628814982,0.642950976,1.11367768,1.11367768,1,1,0.9878745,0.968706235,0.968706235,1,1,1,4.174719623,0.884393877,2
1.267815018,1,1,1.39,1.320967417,1.148700682,0.910070488,1.11367768,1.11367768,1.119451299,1.119451299,1.005532498,1.132516935,1.132516935,1,1,1,4.174719623,0.858231489,24
1,1,1,1.39,0.884676997,0.831109525,1.07887971,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1,1,1,1.054312502,1,4.174719623,0.926407841,3.5
1,1,0.74622904,1.39,0.564513468,1.148700682,0.910070488,1.11367768,1.11367768,0.976362593,0.976362593,0.9878745,0.968706235,0.968706235,1,1.149924083,1,4.174719623,0.556882533,0.2
1,1,1,1.39,1,1,0.910070488,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,0.968706235,0.968706235,1,1.149924083,1,4.174719623,1.379874984,6
1.267815018,1,0.890523518,1.39,0.884676997,0.831109525,0.910070488,1.11367768,1.11367768,1,1,0.9878745,1,1,1,1.149924083,1,4.174719623,0.957864287,2
1.267815018,1,1,1.39,1,1,1,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1,1,1,1.054312502,1,4.174719623,1.062552894,5
1,1,1,1.39,1,1.148700682,0.910070488,1.11367768,1.11367768,1,1,0.9878745,1.046267153,1.046267153,1,0.934252996,1,4.174719623,0.785968402,2
1,0.8826015,0.74622904,1.39,1,0.831109525,0.910070488,1.11367768,1.11367768,0.959040589,0.959040589,1,0.945224608,0.945224608,1,1,1,4.174719623,0.906780802,4
1,1,0.890523518,1.39,0.884676997,0.831109525,1,1,1,1.036836755,1.036836755,0.9878745,1.046267153,1.046267153,1,1,1,4.174719623,0.728127291,1
1.267815018,1.103337246,0.890523518,1.39,1,0.831109525,0.910070488,1.11367768,1.11367768,1,1,0.9878745,1,1,1,1.054312502,1,4.174719623,0.835133,6
1.267815018,1.103337246,0.890523518,1.39,1,0.831109525,0.910070488,1.11367768,1.11367768,1.119451299,1.119451299,0.9878745,1,1,1,1,1,4.174719623,0.66429745,2.5
0.735230822,1,0.890523518,1.39,1,0.831109525,0.910070488,1,1,1,1,1,1.132516935,1.132516935,1,1,1,4.174719623,0.465070981,0.02
1.538072016,1.287073001,1.090270766,1.39,1,1,1.22444782,1.11367768,1.11367768,1.119451299,1.119451299,0.9878745,1,1,1,1.054312502,1,4.174719623,0.765043508,72
1.267815018,1,1.16807125,1.39,0.884676997,1,0.642950976,1.11367768,1.11367768,1,1,0.9878745,1,1,1,1.149924083,1,4.174719623,0.812656186,0.5
1,1,1,1.39,1,0.831109525,0.910070488,1.11367768,1.11367768,1.119451299,1.119451299,0.9878745,1.046267153,1.046267153,1,1,1,4.174719623,0.835133,2
1,1.103337246,1,1.39,0.884676997,0.831109525,0.910070488,1.373785877,1.373785877,1.036836755,1.036836755,0.9878745,1.046267153,1.046267153,1,1.054312502,1,4.174719623,1.109293779,4
1,1.103337246,0.74622904,1.39,0.884676997,0.831109525,1,1,1,1,1,1.005532498,1.132516935,1.132516935,1,1.149924083,1,4.174719623,0.901474451,3
1.267815018,1.103337246,1,1.39,0.564513468,1,1.07887971,1.11367768,1.11367768,1,1,0.9878745,1,1,1,1.149924083,1,4.174719623,0.937570806,6
0.735230822,0.8826015,0.890523518,1.39,1,0.628814982,0.910070488,1.373785877,1.373785877,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.854621201,1
1.267815018,1,0.890523518,1.39,0.884676997,1,0.910070488,1.373785877,1.373785877,1.119451299,1.119451299,0.9955783,1,1,1,1.054312502,1,4.174719623,0.785968402,5
1.267815018,1.287073001,0.890523518,1.39,0.884676997,1.148700682,1.07887971,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1,1,1,1.149924083,1,4.174719623,0.638722084,6
1,1,1,1.39,0.884676997,1.148700682,0.642950976,1.11367768,1.11367768,1,1,0.9878745,0.945224608,0.945224608,1,1,1,4.174719623,0.990625809,8
1.267815018,1,0.74622904,1.39,1,1,0.910070488,1.11367768,1.11367768,1,1,0.9878745,1.046267153,1.046267153,1,1.149924083,1,4.174719623,1.099419703,2
1.267815018,1,1,1.39,1,1,1,1.11367768,1.11367768,1.036836755,1.036836755,1.003118996,1.046267153,1.046267153,1,1,1,4.174719623,0.901474451,20
1,0.8826015,0.74622904,1.39,0.564513468,0.628814982,1.07887971,1,1,0.976362593,0.976362593,0.9878745,0.968706235,0.968706235,1,1,1,4.174719623,0.96715981,1
1.267815018,1.103337246,1,1.39,1,0.831109525,1.07887971,1.11367768,1.11367768,1,1,0.9955783,1,1,1,1.149924083,1,4.174719623,0.948025982,8
1,1,0.74622904,1.39,0.884676997,0.831109525,1,1,1,1,1,0.9878745,1.132516935,1.132516935,1,0.934252996,1,4.174719623,1.991970861,0.5
1.267815018,1.103337246,1.090270766,1.39,1,1,0.910070488,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.901474451,3
1,1.287073001,1,1.39,1,1,0.910070488,1.373785877,1.373785877,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.812656186,4
